# frame,qpc_ms,dt_ms,buf_idx,sync_req,flags_req,sync_used,copy11_us,copy12_us,presentCount,refreshCount,syncRefreshCount,hr
1,192038709.433,0.000,0,1,0x00000000,1,488.1,3084.2,0,0,0,0x00000000
2,192038755.988,46.555,1,1,0x00000000,1,342.1,744.6,0,0,0,0x00000000
3,192038760.852,4.864,2,1,0x00000000,1,246.4,880.3,0,0,0,0x00000000
4,192038763.413,2.561,3,1,0x00000000,1,234.7,691.8,0,0,0,0x00000000
5,192038767.346,3.933,0,1,0x00000000,1,102.2,860.7,0,0,0,0x00000000
6,192038782.980,15.634,1,1,0x00000000,1,134.7,819.3,0,0,0,0x00000000
7,192038800.729,17.749,2,1,0x00000000,1,127.1,910.0,0,0,0,0x00000000
8,192038818.026,17.296,3,1,0x00000000,1,131.5,868.8,0,0,0,0x00000000
9,192038833.425,15.399,0,1,0x00000000,1,104.5,848.6,0,0,0,0x00000000
10,192038851.408,17.982,1,1,0x00000000,1,141.0,980.2,0,0,0,0x00000000
11,192038866.178,14.771,2,1,0x00000000,1,111.9,477.9,0,0,0,0x00000000
12,192038883.334,17.155,3,1,0x00000000,1,138.4,365.7,0,0,0,0x00000000
13,192038899.505,16.172,0,1,0x00000000,1,114.3,310.5,0,0,0,0x00000000
14,192038917.240,17.735,1,1,0x00000000,1,102.6,340.0,0,0,0,0x00000000
15,192038934.315,17.075,2,1,0x00000000,1,366.2,336.4,0,0,0,0x00000000
16,192038949.853,15.537,3,1,0x00000000,1,102.1,310.0,0,0,0,0x00000000
17,192038966.630,16.778,0,1,0x00000000,1,122.6,335.1,0,0,0,0x00000000
18,192038984.122,17.491,1,1,0x00000000,1,103.9,307.6,0,0,0,0x00000000
19,192039000.952,16.830,2,1,0x00000000,1,135.6,291.5,0,0,0,0x00000000
20,192039017.681,16.729,3,1,0x00000000,1,278.5,307.0,0,0,0,0x00000000
21,192039033.421,15.740,0,1,0x00000000,1,104.0,299.5,0,0,0,0x00000000
